id,fullName,rank
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Bundgaard, J.",5
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Burgett, E.",6
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Cunningham, M.",7
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Deaven, J.",8
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Duke, D. L.",9
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Greife, U.",10
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Grimes, S.",11
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Heffner, M.",12
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Hill, T.",13
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Isenhower, D.",14
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Klay, J. L.",15
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Kleinrath, V.",16
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Kornilov, N.",17
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Laptev, A. B.",18
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Massey, T. N.",19
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Meharchand, R.",20
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Qu, H.",21
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Ruz, J.",22
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Sangiorgio, S.",23
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Selhan, B.",24
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Snyder, L.",25
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Stave, S.",26
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Tatishvili, G.",27
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Thornton, R. T.",28
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Tovesson, F.",29
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Towell, D.",30
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Towell, R. S.",31
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Watson, S.",32
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Wendt, B.",33
RECOLECTA___::26a2737b8136df6a9efeb1b3a2fbba3b,"Wood, L.",34
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Boeri, L",1
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Palmisano, F",2
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Preto, M",3
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Sibona, M",4
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Capogrosso, P",5
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Franceschelli, A",6
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Ruiz-Castane, E",7
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Sarquella-Geli, J",8
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Bassas-Arnau, L",9
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Scroppo, FI",10
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Sacca, A",11
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Gentile, G",12
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Falcone, M",13
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Timpano, M",14
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Ceruti, C",15
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Gadda, F",16
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Trost, L",17
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Colombo, F",18
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Rolle, L",19
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Gontero, P",20
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Montorsi, F",21
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Sanchez-Curbelo, J",22
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Salonia, A",23
RECOLECTA___::2b93f656edb3e4e87c307d1bf96ecfb6,"Montanari, E",24
RECOLECTA___::336f9e2af290ce6b5c903c6e15634a6b,"Oviedo de la Fuente, Manuel",1
RECOLECTA___::336f9e2af290ce6b5c903c6e15634a6b,"Ordóñez Galán, Celestino",2
RECOLECTA___::336f9e2af290ce6b5c903c6e15634a6b,"Roca Pardiñas, Javier",3
RECOLECTA___::40c20d19d4990032fe8ed03a88e7aae3,"Pérez García, María Araceli",1
RECOLECTA___::40c20d19d4990032fe8ed03a88e7aae3,"Fernández-Sogorb, Aitana",2
RECOLECTA___::40c20d19d4990032fe8ed03a88e7aae3,"Aparicio-Flores, María del Pilar",3
RECOLECTA___::40c20d19d4990032fe8ed03a88e7aae3,"Lagos San Martín, Nelly",4
RECOLECTA___::40c20d19d4990032fe8ed03a88e7aae3,"Álvarez Teruel, José Daniel",5
RECOLECTA___::40c20d19d4990032fe8ed03a88e7aae3,"García-Fernández, José Manuel",6
RECOLECTA___::46c0a66598186070ba21ee3d95150b74,"DOMÍNGUEZ EXPÓSITO, Mª AUXILIADORA",1
RECOLECTA___::4b59d70ee4411305f50e1f50dc067f9f,"Martí Mestre, Xavier",1
RECOLECTA___::504a55ebbdf0b6d6500cd9bb690dd0aa,"Ruiz Canales, Irene",1
RECOLECTA___::5c5824a7e9b78d24c109d73aef4c4a9e,"Pino, J. Del",1
RECOLECTA___::5c5824a7e9b78d24c109d73aef4c4a9e,"Khemchandani, Sunil L.",2
RECOLECTA___::5c5824a7e9b78d24c109d73aef4c4a9e,"DÍaz-Ortega, Roberto",3
RECOLECTA___::5c5824a7e9b78d24c109d73aef4c4a9e,"Pulido, R.",4
RECOLECTA___::5c5824a7e9b78d24c109d73aef4c4a9e,"GarcÍa-VÁzquez, H.",5
